String;PSČ;CC;Město;Okres;Kraj
58845-Dolní Cerekev, Dolní Dobrouč;58845;1;Dolní Cerekev;Dolní Dobrouč;
58851-Batelov, Bartošovice;58851;1;Batelov;Bartošovice;
58852-Horní Dubenky, Horní Heřmanice;58852;1;Horní Dubenky;Horní Heřmanice;
58854-Mrákotín, Mrákotín;58854;1;Mrákotín;Mrákotín;
58856-Telč-Podolí, Telecí;58856;1;Telč-Podolí;Telecí;
58861-Kostelec, Kostelec u Holešova;58861;1;Kostelec;Kostelec u Holešova;
58862-Urbanov, Určice;58862;1;Urbanov;Určice;
58864-Krasonice, Krasov;58864;1;Krasonice;Krasov;
58865-Nová Říše, Nová Říše;58865;1;Nová Říše;Nová Říše;
58866-Rozseč, Rozseč;58866;1;Rozseč;Rozseč;
58867-Stará Říše, Stará Říše;58867;1;Stará Říše;Stará Říše;
58901-Třešť, Trhanov;58901;1;Třešť;Trhanov;
59101-Žďár nad Sázavou 1, Žďár;59101;1;Žďár nad Sázavou 1;Žďár;
59102-Žďár nad Sázavou 2, Žďár nad Metují;59102;1;Žďár nad Sázavou 2;Žďár nad Metují;
59103-Žďár nad Sázavou 3, Žďár nad Orlicí;59103;1;Žďár nad Sázavou 3;Žďár nad Orlicí;
59201-Český Herálec, Heřmánkovice;59201;1;Český Herálec;Heřmánkovice;
59202-Svratka, Svratka;59202;1;Svratka;Svratka;
59203-Sněžné, Sněžné;59203;1;Sněžné;Sněžné;
